mgi_symbol	mgi_description	ensembl_gene_id
Olfr212; 4931403F16Rik; GA_x54KRFPKN04-58149882-58150865; MOR119-4	olfactory receptor 212	ENSMUSG00000053251
Ndfip2; 0710001O20Rik; 9130207N19Rik; N4wbp5a	Nedd4 family interacting protein 2	ENSMUSG00000053253
Gm12592	predicted gene 12592	ENSMUSG00000053263
Dspp; Dmp3; Dpp; Dsp	dentin sialophosphoprotein	ENSMUSG00000053268
Aldh1a1; Ahd-2; Ahd2; ALDH1; E1; Raldh1	aldehyde dehydrogenase family 1, subfamily A1	ENSMUSG00000053279
Trmt1l; 1190005F20Rik; Trm1-like	tRNA methyltransferase 1 like	ENSMUSG00000053286
Olfr1013; GA_x6K02T2Q125-47248551-47249468; MOR213-2	olfactory receptor 1013	ENSMUSG00000053287
Ddx10; 4632415A01Rik	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	ENSMUSG00000053289
Rab4b; 1500031G17Rik	RAB4B, member RAS oncogene family	ENSMUSG00000053291
Pom121; 2610027A18Rik	nuclear pore membrane protein 121	ENSMUSG00000053293
AI854703	expressed sequence AI854703	ENSMUSG00000053297
Slc22a26; BC014805	solute carrier family 22 (organic cation transporter), member 26	ENSMUSG00000053303
Nrgn; 0710001B06Rik; NG; NG/RC3; protein kinase C substrate; Pss1; RC3	neurogranin	ENSMUSG00000053310
Sec61b; 1190006C12Rik	Sec61 beta subunit	ENSMUSG00000053317
Slamf8; 5830408F06Rik; Blame; SBBI42	SLAM family member 8	ENSMUSG00000053318
Gatd3a; D10Jhu81e	glutamine amidotransferase like class 1 domain containing 3A	ENSMUSG00000053329
Gas5; ; Gas-5; Snhg2	growth arrest specific 5	ENSMUSG00000053332
Dis3l2; 4930429A22Rik; 8030493P09Rik	DIS3 like 3'-5' exoribonuclease 2	ENSMUSG00000053333
Ficd; D5Ertd40e	FIC domain containing	ENSMUSG00000053334
Tarm1; 9930022N03Rik; Gm9904	T cell-interacting, activating receptor on myeloid cells 1	ENSMUSG00000053338
Zfp943; 4930432O21Rik	zinc finger prtoein 943	ENSMUSG00000053347
2310001K24Rik	RIKEN cDNA 2310001K24 gene	ENSMUSG00000053353
Gm9905	predicted gene 9905	ENSMUSG00000053358
F730035P03Rik	RIKEN cDNA F730035P03 gene	ENSMUSG00000053360
Epp13	epididymal protein 13	ENSMUSG00000053367
Rxfp2; Gpr106; Great; LGR8	relaxin/insulin-like family peptide receptor 2	ENSMUSG00000053368
Atp6v1e2; 4930500C14Rik; Atp6e1; E1; lysosomal 31kDa	ATPase, H+ transporting, lysosomal V1 subunit E2	ENSMUSG00000053375
Trim50	tripartite motif-containing 50	ENSMUSG00000053388
Tas2r107; mGR06; mt2r43; STC 5-1; T2R07; T2R4; Tas2r7	taste receptor, type 2, member 107	ENSMUSG00000053389
Zfp952; C920016K16Rik	zinc finger protein 952	ENSMUSG00000053390
Olfr211; GA_x54KRFPKN04-58127726-58128655; MOR253-9	olfactory receptor 211	ENSMUSG00000053391
Cacng8; TARP gamma 8	calcium channel, voltage-dependent, gamma subunit 8	ENSMUSG00000053395
Phgdh; 3-PGDH; 3PGDH; A10; PGAD; PGD; PGDH; SERA	3-phosphoglycerate dehydrogenase	ENSMUSG00000053398
Adamts18; E130314N14Rik	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18	ENSMUSG00000053399
Cbx7; 1600014J01Rik; D15Ertd417e	chromobox 7	ENSMUSG00000053411
Hunk; Bstk1; Mak-v	hormonally upregulated Neu-associated kinase	ENSMUSG00000053414
Gm4792	predicted gene 4792	ENSMUSG00000053420
Mapk14; Crk1; Csbp1; CSBP2; Mxi2; p38; p38 alpha; p38 MAP Kinase; p38 MAP kinase alpha; p38 MAPK; p38-alpha; p38a; p38alpha; p38MAPK	mitogen-activated protein kinase 14	ENSMUSG00000053436
Adamts19; D230034E10Rik	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19	ENSMUSG00000053441
4930597O21Rik	RIKEN cDNA 4930597O21 gene	ENSMUSG00000053442
Thoc7; 1500006O09Rik; 9230101K24Rik	THO complex 7	ENSMUSG00000053453
Ggcx; vitamin K-dependent carboxylase	gamma-glutamyl carboxylase	ENSMUSG00000053460
Hhipl2; 4930507C10Rik	hedgehog interacting protein-like 2	ENSMUSG00000053461
Hs6st3; 6OST3	heparan sulfate 6-O-sulfotransferase 3	ENSMUSG00000053465
Tg; Tgn	thyroglobulin	ENSMUSG00000053469
Kdm3a; 1700105C21Rik; C230043E16Rik; Jmjd1; Jmjd1a; Tsga	lysine (K)-specific demethylase 3A	ENSMUSG00000053470
Gm13534	predicted gene 13534	ENSMUSG00000053472
Tnfaip6; Tnfip6; TSG-6; Tsg6	tumor necrosis factor alpha induced protein 6	ENSMUSG00000053475
Tcf4; 5730422P05Rik; ASP-I2; bHLHb19; E2-2; E2.2; ITF-2; ITF-2b; ME2; MITF-2A; MITF-2B; SEF-2; SEF2-1; TFE	transcription factor 4	ENSMUSG00000053477
Usp21; ESTM28; Usp16; Usp23; W53272	ubiquitin specific peptidase 21	ENSMUSG00000053483
Trim60; 2czf45; Rnf33	tripartite motif-containing 60	ENSMUSG00000053490
Gm5444	predicted gene 5444	ENSMUSG00000053499
Gtsf2; BC048502	gametocyte specific factor 2	ENSMUSG00000053508
Nrd1; NRD-C	nardilysin, N-arginine dibasic convertase, NRD convertase 1	ENSMUSG00000053510
Kcnip1; 2900046L02Rik; 3202002F18Rik; KCHIP1	Kv channel-interacting protein 1	ENSMUSG00000053519
Lgals7; Galectin-7; Pig1	lectin, galactose binding, soluble 7	ENSMUSG00000053522
A530021J07Rik	Riken cDNA A530021J07 gene	ENSMUSG00000053528
Cstf2t; 64kDa; tCstF-64	cleavage stimulation factor, 3' pre-RNA subunit 2, tau	ENSMUSG00000053536
Gm4759	predicted gene 4759	ENSMUSG00000053541
6430503K07Rik	RIKEN cDNA 6430503K07 gene	ENSMUSG00000053545
Shisa7; CKAMP59; D430041B17Rik	shisa family member 7	ENSMUSG00000053550
Ebf4; O/E-4; Olf-1/EBF-like 4	early B cell factor 4	ENSMUSG00000053552
3110082I17Rik	RIKEN cDNA 3110082I17 gene	ENSMUSG00000053553
Smagp	small cell adhesion glycoprotein	ENSMUSG00000053559
Ier2; ch1; pip92	immediate early response 2	ENSMUSG00000053560
Eif3k; 1200009C21Rik; eIF3K; Eif3s12	eukaryotic translation initiation factor 3, subunit K	ENSMUSG00000053565
4930563E22Rik	RIKEN cDNA 4930563E22 gene	ENSMUSG00000053574
Tanc2; 3526402J09Rik; 5730590C14Rik	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	ENSMUSG00000053580
Zfand2a; Airap	zinc finger, AN1-type domain 2A	ENSMUSG00000053581
A730061H03Rik	RIKEN cDNA A730061H03 gene	ENSMUSG00000053588
Fate1; ; 9230118O15Rik	fetal and adult testis expressed 1	ENSMUSG00000053593
Zfp472; Krim-1; Krim-1A; Krim-1B	zinc finger protein 472	ENSMUSG00000053600
4930442H23Rik	RIKEN cDNA 4930442H23 gene	ENSMUSG00000053603
Rpia	ribose 5-phosphate isomerase A	ENSMUSG00000053604
Notumos; ; 4732444A12Rik	notum palmitoleoyl-protein carboxylesterase, opposite strand	ENSMUSG00000053613
Gm9913	predicted gene 9913	ENSMUSG00000053615
Sh3pxd2a; 2310014D11Rik; Fish; Sh3md1; Tks5	SH3 and PX domains 2A	ENSMUSG00000053617
Gykl1; Gk-rs1	glycerol kinase-like 1	ENSMUSG00000053624
Tll1; b2b2476Clo; Tll-1	tolloid-like	ENSMUSG00000053626
Gm9915	predicted gene 9915	ENSMUSG00000053640
Dennd4a; F730015K02Rik	DENN/MADD domain containing 4A	ENSMUSG00000053641
Aldh7a1; Atq1; D18Wsu181e	aldehyde dehydrogenase family 7, member A1	ENSMUSG00000053644
Plxnb1; 2900002G15Rik	plexin B1	ENSMUSG00000053646
Gper1; 6330420K13Rik; Ceprl; CMKRL2; FEG-1; GPCR-Br; Gper; Gpr30	G protein-coupled estrogen receptor 1	ENSMUSG00000053647
Krt42; 2410039E07Rik; ecat6; K17n; Ka22	keratin 42	ENSMUSG00000053654
Tgm5; 2310007C07Rik; TGx	transglutaminase 5	ENSMUSG00000053675
Defb40	defensin beta 40	ENSMUSG00000053678
BC048403	cDNA sequence BC048403	ENSMUSG00000053684
Dpep2; F630103D06Rik; MBD-2	dipeptidase 2	ENSMUSG00000053687
Mast1; 9430008B02Rik; SAST; SAST170	microtubule associated serine/threonine kinase 1	ENSMUSG00000053693
Defb37	defensin beta 37	ENSMUSG00000053695
Nebl; 1200007O21Rik; A630080F05Rik; D830029A09Rik; Lnebl	nebulette	ENSMUSG00000053702
B430305J03Rik	RIKEN cDNA B430305J03 gene	ENSMUSG00000053706
4732471J01Rik	RIKEN cDNA 4732471J01 gene	ENSMUSG00000053714
Dusp7; MKP-X; PYST2	dual specificity phosphatase 7	ENSMUSG00000053716
Klk1b26; EGF-BP type B; Egfbp2; Klk26; mGK-26; PRECE-2	kallikrein 1-related petidase b26	ENSMUSG00000053719
Vmn2r43; EC2-V2R	vomeronasal 2, receptor 43	ENSMUSG00000053720
Spinkl; 9530002K18Rik	serine protease inhibitor, Kazal type-like	ENSMUSG00000053729
Tmem39b; 6330509E05Rik	transmembrane protein 39b	ENSMUSG00000053730
Gm6457	predicted pseudogene 6457	ENSMUSG00000053740
Gm5114; Gm6124; Gm9271; Gm4454	predicted gene 5114	ENSMUSG00000053742
Ptrh1; 2210013M04Rik	peptidyl-tRNA hydrolase 1 homolog	ENSMUSG00000053746
Sox14	SRY (sex determining region Y)-box 14	ENSMUSG00000053747
Gm9920	predicted gene 9920	ENSMUSG00000053749
Chd8; 5830451P18Rik; Duplin	chromodomain helicase DNA binding protein 8	ENSMUSG00000053754
Oas1f	2'-5' oligoadenylate synthetase 1F	ENSMUSG00000053765
Chchd3; 0610041L09Rik; 1700039J09Rik; Micos19	coiled-coil-helix-coiled-coil-helix domain containing 3	ENSMUSG00000053768
Lysmd1; 2610022K04Rik	LysM, putative peptidoglycan-binding, domain containing 1	ENSMUSG00000053769
Rdh8; LOC235033; prRDH	retinol dehydrogenase 8	ENSMUSG00000053773
Ubxn7; Ubxd7	UBX domain protein 7	ENSMUSG00000053774
1700016K19Rik	RIKEN cDNA 1700016K19 gene	ENSMUSG00000053783
Defb38	defensin beta 38	ENSMUSG00000053790
Krt16; K16; Krt1-16	keratin 16	ENSMUSG00000053797
Exoc6; 4833405E05Rik; hbd; msec15; Sec15; Sec15l1	exocyst complex component 6	ENSMUSG00000053799
Grwd1; WDR28	glutamate-rich WD repeat containing 1	ENSMUSG00000053801
Olfr744; GA_x6K02T2PMLR-6326342-6327313; MOR106-13P	olfactory receptor 744	ENSMUSG00000053815
Camk2d; 2810011D23Rik; 8030469K03Rik; CaMK II	calcium/calmodulin-dependent protein kinase II, delta	ENSMUSG00000053819
Bcl2a1c; A1-c	B cell leukemia/lymphoma 2 related protein A1c	ENSMUSG00000053820
Gm9922	predicted gene 9922	ENSMUSG00000053821
Ppfia2; E130120L08Rik; Liprin-alpha2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	ENSMUSG00000053825
Gm9923	predicted pseudogene 9923	ENSMUSG00000053830
H2-T24; H-2T24	histocompatibility 2, T region locus 24	ENSMUSG00000053835
Nudcd3	NudC domain containing 3	ENSMUSG00000053838
Txlna; 2600010N21Rik; IL14; Txln	taxilin alpha	ENSMUSG00000053841
Lipg; 3110013K01Rik; EL; endothelial lipase; mEDL	lipase, endothelial	ENSMUSG00000053846
Adgrg4; Gpr112; LOC236798; PGR17	adhesion G protein-coupled receptor G4	ENSMUSG00000053852
Dnajc5g; 4922503E23Rik	DnaJ heat shock protein family (Hsp40) member C5 gamma	ENSMUSG00000053856
Gm9925	predicted gene 9925	ENSMUSG00000053861
Slc51b; Ostb	solute carrier family 51, beta subunit	ENSMUSG00000053862
Mepe; OF45	matrix extracellular phosphoglycoprotein with ASARM motif (bone)	ENSMUSG00000053863
Gm5142	predicted gene 5142	ENSMUSG00000053868
Fpgt; 1700016E03Rik	fucose-1-phosphate guanylyltransferase	ENSMUSG00000053870
Aym1	activator of yeast meiotic promoters 1	ENSMUSG00000053873
Srcap; B930091H02Rik; D030022P06Rik; F630004O05Rik	Snf2-related CREBBP activator protein	ENSMUSG00000053877
Sh2d4a; 2210402M20Rik; SH2A	SH2 domain containing 4A	ENSMUSG00000053886
Kirrel3os; ; A130066N16Rik	kirre like nephrin family adhesion molecule 3, opposite strand	ENSMUSG00000053889
4933409G03Rik	RIKEN cDNA 4933409G03 gene	ENSMUSG00000053896
Slc39a8; 4933419D20Rik; BIGM103; ZIP8	solute carrier family 39 (metal ion transporter), member 8	ENSMUSG00000053897
Ech1; dienoyl-CoA isomerase	enoyl coenzyme A hydratase 1, peroxisomal	ENSMUSG00000053898
Mat2a; D630045P18Rik	methionine adenosyltransferase II, alpha	ENSMUSG00000053907
Rhox10	reproductive homeobox 10	ENSMUSG00000053909
Kdm4d; Jmjd2d	lysine (K)-specific demethylase 4D	ENSMUSG00000053914
Nanp; 1600031M04Rik; Hdhd4	N-acetylneuraminic acid phosphatase	ENSMUSG00000053916
Gm9929	predicted gene 9929	ENSMUSG00000053925
Cyhr1; 1110031M01Rik; Chrp	cysteine and histidine rich 1	ENSMUSG00000053929
Shisa6; CKAMP52; Gm879; LOC380702	shisa family member 6	ENSMUSG00000053930
Cnn3; 1600014M03Rik; Calpo3	calponin 3, acidic	ENSMUSG00000053931
Adnp2; 8430420L05Rik; Zfp508	ADNP homeobox 2	ENSMUSG00000053950
Gm12474	predicted gene 12474	ENSMUSG00000053957
Ang5; Ang3	angiogenin, ribonuclease A family, member 5	ENSMUSG00000053961
Stum; 6330403A02Rik	mechanosensory transduction mediator	ENSMUSG00000053963
Lgals4; galectin-4	lectin, galactose binding, soluble 4	ENSMUSG00000053964
Pde5a; Pde5; PDE5A1	phosphodiesterase 5A, cGMP-specific	ENSMUSG00000053965
Cd8a; Ly-2; Ly-35; Ly-B; Lyt-2	CD8 antigen, alpha chain	ENSMUSG00000053977
A730045E13Rik	RIKEN cDNA A730045E13 gene	ENSMUSG00000053979
Gm9930	predicted gene 9930	ENSMUSG00000053980
Zfp14; 4732429I09Rik; Krox-9; Zfp-14	zinc finger protein 14	ENSMUSG00000053985
Tusc1; 2200001D17Rik; TSG-9	tumor suppressor candidate 1	ENSMUSG00000054000
Tdrd9; 4930441E05Rik	tudor domain containing 9	ENSMUSG00000054003
Mill1; 5530400I18Rik	MHC I like leukocyte 1	ENSMUSG00000054005
D630008O14Rik	RIKEN cDNA D630008O14 gene	ENSMUSG00000054006
Ndst1; 1200015G06Rik; b2b2230Clo; glucosaminyl N-deacetylase/N-sulfotransferase 1; Hsst; Ndst-1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	ENSMUSG00000054008
Tmem179	transmembrane protein 179	ENSMUSG00000054013
Sirt5; 0610012J09Rik; 1500032M05Rik	sirtuin 5	ENSMUSG00000054021
Nt5dc3; C630002B14Rik; Gnn	5'-nucleotidase domain containing 3	ENSMUSG00000054027
Rdh18-ps; ; cis-retinol/3alpha-hydroxysterol short-chain dehydrogenase	retinol dehydrogenase 18, pseudogene	ENSMUSG00000054031
Adam39; 1700056P18Rik; testase 9	a disintegrin and metallopeptidase domain 39	ENSMUSG00000054033
Tceal5; 6430401A05Rik	transcription elongation factor A (SII)-like 5	ENSMUSG00000054034
Olfr279; GA_x6K02T04SN1-554-3; GA_x6K02T2NBG7-5241885-5241019; MOR122-1; Olfr234	olfactory receptor 279	ENSMUSG00000054036
Klk13; mGk-13	kallikrein related-peptidase 13	ENSMUSG00000054046
Ercc6; C130058G22Rik; CS group B correcting gene; CSB	excision repair cross-complementing rodent repair deficiency, complementation group 6	ENSMUSG00000054051
Rdh19; RDH-S; Rdhs	retinol dehydrogenase 19	ENSMUSG00000054052
Olfr309; GA_x6K02T2NHDJ-9801340-9802266; MOR251-4P	olfactory receptor 309	ENSMUSG00000054054
A930004D18Rik	RIKEN cDNA A930004D18 gene	ENSMUSG00000054057
Gm9934	predicted gene 9934	ENSMUSG00000054061
Pkp3; 2310056L12Rik	plakophilin 3	ENSMUSG00000054065
6030452D12Rik	RIKEN cDNA 6030452D12 gene	ENSMUSG00000054069
Iigp1; 2900074L10Rik; Irga6	interferon inducible GTPase 1	ENSMUSG00000054072
Skida1; 2810030E01Rik; 5730507N06Rik	SKI/DACH domain containing 1	ENSMUSG00000054074
Utp18; 6230425C22Rik; Wdr50	UTP18 small subunit processome component	ENSMUSG00000054079
Capn12	calpain 12	ENSMUSG00000054083
Fbxw28; Gm9337	F-box and WD-40 domain protein 28	ENSMUSG00000054087
1810037I17Rik; ALN; another-regulin	RIKEN cDNA 1810037I17 gene	ENSMUSG00000054091
Slc25a40; B230315F11Rik	solute carrier family 25, member 40	ENSMUSG00000054099
Nlrp9a; D7Ertd565e; Nalp-theta; Nalp9a	NLR family, pyrin domain containing 9A	ENSMUSG00000054102
Try4; 0910001B19Rik; Td	trypsin 4	ENSMUSG00000054106
Skp2; FBXL1	S-phase kinase-associated protein 2 (p45)	ENSMUSG00000054115
E130116L18Rik	RIKEN cDNA E130116L18 gene	ENSMUSG00000054116
Zdhhc25; 1700030J15Rik	zinc finger, DHHC domain containing 25	ENSMUSG00000054117
H2-T3; H2-T18; H-2T3; H2-Tw3; TL	histocompatibility 2, T region locus 3	ENSMUSG00000054128
Umodl1; D17Ertd488e	uromodulin-like 1	ENSMUSG00000054134
A430110L20Rik	RIKEN cDNA A430110L20 gene	ENSMUSG00000054135
Adm2; IMD; intermedin	adrenomedullin 2	ENSMUSG00000054136
Olfr24; GA_x6K02T2PVTD-12498544-12497603; MOR132-1; MTPCR51	olfactory receptor 24	ENSMUSG00000054141
Vmn1r236; V1rf4	vomeronasal 1 receptor 236	ENSMUSG00000054142
Krt15; K15; Krt1-15	keratin 15	ENSMUSG00000054146
Syne3; 4831426I19Rik; nesprin-3; nesprin-3alpha; nesprin-3beta	spectrin repeat containing, nuclear envelope family member 3	ENSMUSG00000054150
Gm4894	predicted gene 4894	ENSMUSG00000054156
Nkx2-4; 1700001P03Rik; Nkx-2.4; tinman	NK2 homeobox 4	ENSMUSG00000054160
Fam83e; 4930403C10Rik	family with sequence similarity 83, member E	ENSMUSG00000054161
Spock3; 2900045C01Rik; testican 3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3	ENSMUSG00000054162
Ceacam10; Bgp3; Cea10	carcinoembryonic antigen-related cell adhesion molecule 10	ENSMUSG00000054169
A930012O16Rik	RIKEN cDNA A930012O16 gene	ENSMUSG00000054181
Klf1; Eklf; Nan	Kruppel-like factor 1 (erythroid)	ENSMUSG00000054191
Cthrc1; 1110014B07Rik	collagen triple helix repeat containing 1	ENSMUSG00000054196
Gon4l; 1500041I23Rik; 2610100B20Rik	gon-4-like (C.elegans)	ENSMUSG00000054199
Ffar4; Ffa4; Gpr120; Gpr129; O3far1; Pgr4	free fatty acid receptor 4	ENSMUSG00000054200
Ifi205; D3	interferon activated gene 205	ENSMUSG00000054203
Alkal2; 6230419C23Rik; Fam150b	ALK and LTK ligand 2	ENSMUSG00000054204
Gzmm; Lmet1	granzyme M (lymphocyte met-ase 1)	ENSMUSG00000054206
Sprr2k	small proline-rich protein 2K	ENSMUSG00000054215
Tprkb; 0610033G21Rik; 1810034M08Rik; DRWMS1	Tp53rk binding protein	ENSMUSG00000054226
Olfr481; GA_x6K02T2PBJ9-10409785-10410723; MOR204-2; MOR204-39	olfactory receptor 481	ENSMUSG00000054236
Fra10ac1; 5730455O13Rik	FRA10AC1 homolog (human)	ENSMUSG00000054237
Gm9939	predicted gene 9939	ENSMUSG00000054247
Fgfr3; Fgfr-3; HBGFR; sam3	fibroblast growth factor receptor 3	ENSMUSG00000054252
Msi1; m-Msi-1; Msi1h; Musahi1	musashi RNA-binding protein 1	ENSMUSG00000054256
Gm5082	predicted gene 5082	ENSMUSG00000054258
Lifr; A230075M04Rik; soluble differentiation-stimulating factor receptor	LIF receptor alpha	ENSMUSG00000054263
Serpinb9d; AT2; ovalbumin; Spi9	serine (or cysteine) peptidase inhibitor, clade B, member 9d	ENSMUSG00000054266
Zscan4c; LOC245109	zinc finger and SCAN domain containing 4C	ENSMUSG00000054272
Arfgap3; 0610009H19Rik; 1810004P07Rik; 1810035F16Rik; 9130416J18Rik	ADP-ribosylation factor GTPase activating protein 3	ENSMUSG00000054277
Prr14l; 6030436E02Rik; C330019G07Rik; Prl14l	proline rich 14-like	ENSMUSG00000054280
P2ry10b; A630033H20Rik	purinergic receptor P2Y, G-protein coupled 10B	ENSMUSG00000054293
Eapp; 1810011O16Rik; EAPP	E2F-associated phosphoprotein	ENSMUSG00000054302
D130007C19Rik	RIKEN cDNA D130007C19 gene	ENSMUSG00000054304
Cpsf3; 73 kDa	cleavage and polyadenylation specificity factor 3	ENSMUSG00000054309
Obox1; 7420700M11Rik	oocyte specific homeobox 1	ENSMUSG00000054310
Mrps21; 1810031B19Rik	mitochondrial ribosomal protein S21	ENSMUSG00000054312
Lrrc36	leucine rich repeat containing 36	ENSMUSG00000054320
Taf4b; 105kDa; 2610524B04Rik; 4932409F03Rik; Taf2c2; TAFII105	TATA-box binding protein associated factor 4b	ENSMUSG00000054321
Lce3a; EG545548	late cornified envelope 3A	ENSMUSG00000054325
Kcnn4; IK1; IKCa1; KCa3.1; mIKCa1; SK4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	ENSMUSG00000054342
4930553M12Rik	RIKEN cDNA 4930553M12 gene	ENSMUSG00000054351
Bsx; Bsx1a; Bsx1b	brain specific homeobox	ENSMUSG00000054360
Lexm; BC055111	lymphocyte expansion molecule	ENSMUSG00000054362
Rhob; Arhb	ras homolog family member B	ENSMUSG00000054364
2410024N13Rik	RIKEN cDNA 2410024N13 gene	ENSMUSG00000054379
Zfp747; 6430604K15Rik	zinc finger protein 747	ENSMUSG00000054381
Pnma1; 5730402C15Rik	paraneoplastic antigen MA1	ENSMUSG00000054383
Ceacam2; Bgp2	carcinoembryonic antigen-related cell adhesion molecule 2	ENSMUSG00000054385
Mdm4; 4933417N07Rik; Mdmx	transformed mouse 3T3 cell double minute 4	ENSMUSG00000054387
4930517O19Rik	RIKEN cDNA 4930517O19 gene	ENSMUSG00000054391
Cklf; 1700001C14Rik; A730028G07Rik; C32; chemokine-like factor 4; CKLF1; CKLF2; CKLF3; CKLF4; CKLF5; Cklf6; HSPC224; UCK-1	chemokine-like factor	ENSMUSG00000054400
Slfn5	schlafen 5	ENSMUSG00000054404
Dnajc8; 1110021D09Rik; 2010009J04Rik	DnaJ heat shock protein family (Hsp40) member C8	ENSMUSG00000054405
Olfr411; GA_x6K02T2P1NL-4481525-4480578; MOR255-3	olfactory receptor 411	ENSMUSG00000054406
Spcs3; 1810011E08Rik	signal peptidase complex subunit 3 homolog (S. cerevisiae)	ENSMUSG00000054408
Tmem74; B230382K22Rik	transmembrane protein 74	ENSMUSG00000054409
Gm4793	predicted gene 4793	ENSMUSG00000054412
Slc30a7; 1810059J10Rik; 2610034N15Rik; 4833428C12Rik; ZnT-7; ZnT7	solute carrier family 30 (zinc transporter), member 7	ENSMUSG00000054414
Cyp3a44	cytochrome P450, family 3, subfamily a, polypeptide 44	ENSMUSG00000054417
2900041M22Rik	RIKEN cDNA 2900041M22 gene	ENSMUSG00000054418
Fabp1; Fabpl; L-FABP	fatty acid binding protein 1, liver	ENSMUSG00000054422
Cadps; CAPS1	Ca2+-dependent secretion activator	ENSMUSG00000054423
A930005H10Rik	RIKEN cDNA A930005H10 gene	ENSMUSG00000054426
Atpif1; If1	ATPase inhibitory factor 1	ENSMUSG00000054428
Olfr450; GA_x6K02T2P3E9-4742413-4741481; MOR257-3	olfactory receptor 450	ENSMUSG00000054431
Tmem120b	transmembrane protein 120B	ENSMUSG00000054434
Gimap4; E430007K16Rik; Ian1	GTPase, IMAP family member 4	ENSMUSG00000054435
Cpa1; 0910001L12Rik	carboxypeptidase A1, pancreatic	ENSMUSG00000054446
Gm9945	predicted gene 9945	ENSMUSG00000054450
Tle5; Aes; Grg; Grg5	TLE family member 5, transcriptional modulator	ENSMUSG00000054452
Sytl5; ENSMUSG00000054453	synaptotagmin-like 5	ENSMUSG00000054453
Vapb; D2Abb2e; VAMP-associated protein 33b; VAP33b	vesicle-associated membrane protein, associated protein B and C	ENSMUSG00000054455
9430021M05Rik	RIKEN cDNA 9430021M05 gene	ENSMUSG00000054457
Vsnl1; VILIP	visinin-like 1	ENSMUSG00000054459
Lclat1; AGPAT8; ALCAT1; Lycat	lysocardiolipin acyltransferase 1	ENSMUSG00000054469
Thnsl2; TSH2	threonine synthase-like 2 (bacterial)	ENSMUSG00000054474
Kcnn2; bc; fri; SK2; small conductance calcium-activated potassium channel 2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	ENSMUSG00000054477
Tmem62; B830009D23Rik	transmembrane protein 62	ENSMUSG00000054484
Gm9946; ; EG330403	predicted gene 9946	ENSMUSG00000054488
Gm9947	predicted gene 9947	ENSMUSG00000054493
Tas2r130; mt2r42; STC 7-4; T2R30; Tas2r30	taste receptor, type 2, member 130	ENSMUSG00000054497
Olfr308; GA_x6K02T2NHDJ-9786435-9787361; MOR104-1	olfactory receptor 308	ENSMUSG00000054498
Dedd2; 2410050E11Rik; FLAME-3	death effector domain-containing DNA binding protein 2	ENSMUSG00000054499
Parp4; Adprtl1; C030027K23Rik; E230037B21Rik; p193; PH5P; VAULT3; VPARP	poly (ADP-ribose) polymerase family, member 4	ENSMUSG00000054509
Gm14461	predicted gene 14461	ENSMUSG00000054510
Atad3aos; ; 2610204G22Rik	ATPase family, AAA domain containing 3A, opposite strand	ENSMUSG00000054514
Trim65; 4732463G12Rik	tripartite motif-containing 65	ENSMUSG00000054517
Zfp867	zinc finger protein 867	ENSMUSG00000054519
Sh3bp2; 3BP2	SH3-domain binding protein 2	ENSMUSG00000054520
Ms4a5	membrane-spanning 4-domains, subfamily A, member 5	ENSMUSG00000054523
Olfr1500; GA_x6K02T2RE5P-4160554-4159619; MOR212-4P	olfactory receptor 1500	ENSMUSG00000054526
Tmprss11e; DESC1	transmembrane protease, serine 11e	ENSMUSG00000054537
Ugt1a6a; UGT1.6; Ugt1a6	UDP glucuronosyltransferase 1 family, polypeptide A6A	ENSMUSG00000054545
Adam12; ADAM12; Mltna	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	ENSMUSG00000054555
Gm4876	predicted gene 4876	ENSMUSG00000054556
Usp17la; Dub1	ubiquitin specific peptidase 17-like A	ENSMUSG00000054568
Pla2r1; M-type receptor; PLA2-I receptor; Pla2g1br	phospholipase A2 receptor 1	ENSMUSG00000054580
Pabpc1l; 1810053B01Rik; ePAB	poly(A) binding protein, cytoplasmic 1-like	ENSMUSG00000054582
Gm9949; EG225609	predicted gene 9949	ENSMUSG00000054589
Oscar; mOSCAR	osteoclast associated receptor	ENSMUSG00000054594
9130230L23Rik	RIKEN cDNA 9130230L23 gene	ENSMUSG00000054598
Cggbp1	CGG triplet repeat binding protein 1	ENSMUSG00000054604
Kdm2a; 5530401A10Rik; Cxxc8; Fbl7; Fbxl11; Gm4560; Jhdm1a; lalina	lysine (K)-specific demethylase 2A	ENSMUSG00000054611
Mgmt; Agat; AGT	O-6-methylguanine-DNA methyltransferase	ENSMUSG00000054612
Gm9951	predicted gene 9951	ENSMUSG00000054618
Mettl7a1; 2210414H16Rik; 3300001H21Rik; Mettl7a	methyltransferase like 7A1	ENSMUSG00000054619
D730045B01Rik	RIKEN cDNA D730045B01 gene	ENSMUSG00000054622
